Junction,Left_Speed,Left_Comment,Right_Speed,Right_Comment,Date,Time,Day_of_Week,Stratum
J41-J40,68 mph,No comment,70 mph,No comment,27.07.24,18:01:05,Saturday,Evening
J40-J39,68 mph,No comment,70 mph,No comment,27.07.24,18:01:15,Saturday,Evening
J39-J38,70 mph,No comment,70 mph,No comment,27.07.24,18:01:35,Saturday,Evening
J38-J37,70 mph,No comment,70 mph,No comment,27.07.24,18:01:55,Saturday,Evening
J37-J36,69 mph,No comment,70 mph,No comment,27.07.24,18:02:16,Saturday,Evening
J36-J35A,70 mph,Unconfirmed Roadworks,65 mph,No comment,27.07.24,18:02:26,Saturday,Evening
J35A-J35,62 mph,No comment,52 mph,No comment,27.07.24,18:02:46,Saturday,Evening
J35-J34,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",50 mph,No comment,27.07.24,18:02:46,Saturday,Evening
J34-J33,47 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",27.07.24,18:02:46,Saturday,Evening
J33-J32,49 mph,No comment,55 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",27.07.24,18:02:46,Saturday,Evening
J32-J31,63 mph,No comment,51 mph,Unconfirmed Roadworks,27.07.24,18:02:46,Saturday,Evening
J31-J30,49 mph,No comment,48 mph,Unconfirmed Roadworks,27.07.24,18:02:56,Saturday,Evening
J30-J29A,48 mph,No comment,49 mph,No comment,27.07.24,18:02:56,Saturday,Evening
J29A-J29,50 mph,No comment,49 mph,No comment,27.07.24,18:03:18,Saturday,Evening
J29-J28,49 mph,No comment,50 mph,Unconfirmed Roadworks,27.07.24,18:03:18,Saturday,Evening
J28-J27,64 mph,No comment,67 mph,No comment,27.07.24,18:03:16,Saturday,Evening
J27-J26,70 mph,No comment,69 mph,No comment,27.07.24,18:03:36,Saturday,Evening
J26-J25,67 mph,No comment,62 mph,No comment,27.07.24,18:03:56,Saturday,Evening
J25-J24A,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",48 mph,Unconfirmed Roadworks,27.07.24,18:04:18,Saturday,Evening
J24A-J24,56 mph,Unconfirmed Roadworks,49 mph,No comment,27.07.24,18:04:16,Saturday,Evening
J24-J23A,67 mph,No comment,58 mph,No comment,27.07.24,18:04:37,Saturday,Evening
J23A-J23,70 mph,Unconfirmed Roadworks,70 mph,No comment,27.07.24,18:04:47,Saturday,Evening
J23-J22,70 mph,No comment,70 mph,No comment,27.07.24,18:05:07,Saturday,Evening
J22-J21A,59 mph,Unconfirmed Roadworks,70 mph,Unconfirmed Roadworks,27.07.24,18:05:07,Saturday,Evening
J21A-J21,64 mph,No comment,65 mph,No comment,27.07.24,18:05:17,Saturday,Evening
J21-J20,70 mph,No comment,70 mph,No comment,27.07.24,18:05:37,Saturday,Evening
J20-J19,69 mph,No comment,70 mph,No comment,27.07.24,18:05:47,Saturday,Evening
J19-J18,53 mph,Unconfirmed Roadworks,13 mph,"Congestion, Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",27.07.24,18:05:57,Saturday,Evening
J18-J17,50 mph,Unconfirmed Roadworks,47 mph,No comment,27.07.24,18:18:07,Saturday,Evening
J17-J16,50 mph,No comment,51 mph,Unconfirmed Roadworks,27.07.24,18:18:17,Saturday,Evening
J16-J15A,63 mph,No comment,70 mph,No comment,27.07.24,18:18:37,Saturday,Evening
J15A-J15,70 mph,No comment,69 mph,No comment,27.07.24,18:18:58,Saturday,Evening
J15-J14,67 mph,No comment,70 mph,No comment,27.07.24,18:07:18,Saturday,Evening
J14-J13,66 mph,Roadworks,63 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",27.07.24,18:07:28,Saturday,Evening
J13-J12,48 mph,Roadworks,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",27.07.24,18:07:38,Saturday,Evening
J12-J11A,48 mph,Roadworks,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",27.07.24,18:07:48,Saturday,Evening
J11A-J11,48 mph,"Roadworks, Roadworks",48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Roadworks",27.07.24,18:07:48,Saturday,Evening
J11-J10,47 mph,Roadworks,49 mph,"Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",27.07.24,18:07:48,Saturday,Evening
J10-J9,60 mph,"Roadworks, Unconfirmed Roadworks",66 mph,Roadworks,27.07.24,18:07:48,Saturday,Evening
J9-J8,65 mph,Unconfirmed Roadworks,66 mph,Roadworks,27.07.24,18:07:48,Saturday,Evening
J8-J7,60 mph,No comment,58 mph,No comment,27.07.24,18:08:08,Saturday,Evening
J7-J6A,65 mph,No comment,65 mph,No comment,27.07.24,18:08:28,Saturday,Evening
J6A-J6,66 mph,No comment,69 mph,No comment,27.07.24,18:08:48,Saturday,Evening
J6-J5,67 mph,No comment,67 mph,No comment,27.07.24,18:09:08,Saturday,Evening
J5-J4,70 mph,No comment,68 mph,No comment,27.07.24,18:09:29,Saturday,Evening
J4-J2,64 mph,No comment,70 mph,No comment,27.07.24,18:09:39,Saturday,Evening
J2-J1,65 mph,No comment,59 mph,No comment,27.07.24,18:09:49,Saturday,Evening
J48-J47,57 mph,Unconfirmed Roadworks,52 mph,Unconfirmed Roadworks,28.07.24,05:00:08,Sunday,Off
J47-J46,51 mph,Unconfirmed Roadworks,48 mph,Unconfirmed Roadworks,28.07.24,05:00:08,Sunday,Off
J46-J45,50 mph,Unconfirmed Roadworks,61 mph,Unconfirmed Roadworks,28.07.24,05:00:08,Sunday,Off
J45-J43|44,68 mph,No comment,62 mph,No comment,28.07.24,05:00:28,Sunday,Off
J43|44-J42,64 mph,No comment,66 mph,No comment,28.07.24,05:00:48,Sunday,Off
J42-J41,64 mph,No comment,69 mph,No comment,28.07.24,05:01:09,Sunday,Off
J41-J40,66 mph,No comment,66 mph,No comment,28.07.24,05:01:29,Sunday,Off
J40-J39,63 mph,No comment,67 mph,No comment,28.07.24,05:01:49,Sunday,Off
J39-J38,70 mph,No comment,66 mph,No comment,28.07.24,05:02:09,Sunday,Off
J38-J37,70 mph,No comment,69 mph,No comment,28.07.24,05:02:29,Sunday,Off
J37-J36,69 mph,No comment,69 mph,No comment,28.07.24,05:02:49,Sunday,Off
J36-J35A,68 mph,Unconfirmed Roadworks,65 mph,No comment,28.07.24,05:02:59,Sunday,Off
J35A-J35,63 mph,No comment,52 mph,No comment,28.07.24,05:03:19,Sunday,Off
J35-J34,54 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",50 mph,No comment,28.07.24,05:03:29,Sunday,Off
J34-J33,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,05:03:29,Sunday,Off
J33-J32,50 mph,No comment,55 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,05:03:39,Sunday,Off
J32-J31,61 mph,No comment,53 mph,Unconfirmed Roadworks,28.07.24,05:03:49,Sunday,Off
J31-J30,52 mph,No comment,50 mph,Unconfirmed Roadworks,28.07.24,05:03:59,Sunday,Off
J30-J29A,48 mph,No comment,51 mph,No comment,28.07.24,05:04:20,Sunday,Off
J29A-J29,50 mph,No comment,50 mph,No comment,28.07.24,05:04:40,Sunday,Off
J29-J28,51 mph,No comment,50 mph,Unconfirmed Roadworks,28.07.24,05:04:50,Sunday,Off
J28-J27,63 mph,No comment,64 mph,No comment,28.07.24,05:05:10,Sunday,Off
J27-J26,67 mph,No comment,66 mph,No comment,28.07.24,05:05:30,Sunday,Off
J26-J25,59 mph,No comment,61 mph,No comment,28.07.24,05:05:50,Sunday,Off
J25-J24A,52 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",52 mph,Unconfirmed Roadworks,28.07.24,05:05:50,Sunday,Off
J24A-J24,53 mph,Unconfirmed Roadworks,54 mph,No comment,28.07.24,05:06:00,Sunday,Off
J24-J23A,64 mph,No comment,61 mph,No comment,28.07.24,05:06:20,Sunday,Off
J23A-J23,70 mph,Unconfirmed Roadworks,70 mph,No comment,28.07.24,05:06:30,Sunday,Off
J23-J22,65 mph,No comment,66 mph,No comment,28.07.24,05:06:51,Sunday,Off
J22-J21A,63 mph,Unconfirmed Roadworks,70 mph,Unconfirmed Roadworks,28.07.24,05:06:51,Sunday,Off
J21A-J21,65 mph,No comment,70 mph,No comment,28.07.24,05:07:11,Sunday,Off
J21-J20,66 mph,No comment,69 mph,No comment,28.07.24,05:07:31,Sunday,Off
J20-J19,68 mph,No comment,66 mph,No comment,28.07.24,05:07:51,Sunday,Off
J19-J18,54 mph,Unconfirmed Roadworks,46 mph,"Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",28.07.24,05:07:51,Sunday,Off
J18-J17,51 mph,Unconfirmed Roadworks,48 mph,No comment,28.07.24,05:08:01,Sunday,Off
J17-J16,51 mph,No comment,51 mph,Unconfirmed Roadworks,28.07.24,05:08:11,Sunday,Off
J16-J15A,61 mph,No comment,65 mph,No comment,28.07.24,05:08:31,Sunday,Off
J15A-J15,66 mph,No comment,65 mph,No comment,28.07.24,05:08:51,Sunday,Off
J15-J14,66 mph,No comment,64 mph,No comment,28.07.24,05:09:12,Sunday,Off
J14-J13,68 mph,Roadworks,55 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,05:09:12,Sunday,Off
J13-J12,49 mph,Roadworks,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,05:09:12,Sunday,Off
J12-J11A,49 mph,Roadworks,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,05:09:12,Sunday,Off
J11A-J11,49 mph,"Roadworks, Roadworks",49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Roadworks",28.07.24,05:09:12,Sunday,Off
J11-J10,50 mph,Roadworks,49 mph,"Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",28.07.24,05:09:12,Sunday,Off
J10-J9,62 mph,"Roadworks, Unconfirmed Roadworks",66 mph,Roadworks,28.07.24,05:09:12,Sunday,Off
J9-J8,66 mph,Unconfirmed Roadworks,63 mph,Roadworks,28.07.24,05:09:12,Sunday,Off
J8-J7,60 mph,No comment,55 mph,No comment,28.07.24,05:09:32,Sunday,Off
J7-J6A,65 mph,No comment,65 mph,No comment,28.07.24,05:09:52,Sunday,Off
J6A-J6,65 mph,Unconfirmed Roadworks,69 mph,No comment,28.07.24,05:10:02,Sunday,Off
J6-J5,65 mph,Unconfirmed Roadworks,67 mph,No comment,28.07.24,05:10:12,Sunday,Off
J5-J4,70 mph,No comment,70 mph,No comment,28.07.24,05:10:32,Sunday,Off
J4-J2,68 mph,No comment,67 mph,No comment,28.07.24,05:10:53,Sunday,Off
J2-J1,58 mph,No comment,59 mph,No comment,28.07.24,05:11:13,Sunday,Off
J48-J47,57 mph,Unconfirmed Roadworks,49 mph,Unconfirmed Roadworks,28.07.24,08:30:51,Sunday,Morning
J47-J46,49 mph,Unconfirmed Roadworks,48 mph,Unconfirmed Roadworks,28.07.24,08:30:51,Sunday,Morning
J46-J45,48 mph,Unconfirmed Roadworks,61 mph,Unconfirmed Roadworks,28.07.24,08:30:51,Sunday,Morning
J45-J43|44,61 mph,No comment,65 mph,No comment,28.07.24,08:31:12,Sunday,Morning
J43|44-J42,66 mph,No comment,61 mph,No comment,28.07.24,08:31:32,Sunday,Morning
J42-J41,69 mph,No comment,58 mph,No comment,28.07.24,08:31:52,Sunday,Morning
J41-J40,70 mph,No comment,60 mph,No comment,28.07.24,08:32:12,Sunday,Morning
J40-J39,70 mph,No comment,70 mph,No comment,28.07.24,08:32:32,Sunday,Morning
J39-J38,70 mph,No comment,70 mph,No comment,28.07.24,08:32:52,Sunday,Morning
J38-J37,70 mph,No comment,70 mph,No comment,28.07.24,08:33:12,Sunday,Morning
J37-J36,70 mph,No comment,70 mph,No comment,28.07.24,08:33:32,Sunday,Morning
J36-J35A,70 mph,Unconfirmed Roadworks,70 mph,No comment,28.07.24,08:33:42,Sunday,Morning
J35A-J35,55 mph,No comment,51 mph,No comment,28.07.24,08:34:02,Sunday,Morning
J35-J34,46 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",50 mph,No comment,28.07.24,08:34:12,Sunday,Morning
J34-J33,46 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,08:34:13,Sunday,Morning
J33-J32,47 mph,No comment,58 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,08:34:23,Sunday,Morning
J32-J31,64 mph,No comment,51 mph,Unconfirmed Roadworks,28.07.24,08:34:33,Sunday,Morning
J31-J30,51 mph,No comment,50 mph,Unconfirmed Roadworks,28.07.24,08:34:43,Sunday,Morning
J30-J29A,49 mph,No comment,48 mph,No comment,28.07.24,08:35:03,Sunday,Morning
J29A-J29,51 mph,No comment,49 mph,No comment,28.07.24,08:35:23,Sunday,Morning
J29-J28,52 mph,No comment,51 mph,Unconfirmed Roadworks,28.07.24,08:35:33,Sunday,Morning
J28-J27,63 mph,No comment,66 mph,No comment,28.07.24,08:35:53,Sunday,Morning
J27-J26,70 mph,No comment,70 mph,No comment,28.07.24,08:36:13,Sunday,Morning
J26-J25,53 mph,No comment,61 mph,No comment,28.07.24,08:36:33,Sunday,Morning
J25-J24A,51 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",48 mph,Unconfirmed Roadworks,28.07.24,08:36:33,Sunday,Morning
J24A-J24,57 mph,Unconfirmed Roadworks,48 mph,No comment,28.07.24,08:36:43,Sunday,Morning
J24-J23A,68 mph,No comment,53 mph,No comment,28.07.24,08:37:03,Sunday,Morning
J23A-J23,64 mph,Unconfirmed Roadworks,66 mph,No comment,28.07.24,08:37:13,Sunday,Morning
J23-J22,68 mph,No comment,61 mph,No comment,28.07.24,08:37:34,Sunday,Morning
J22-J21A,68 mph,Unconfirmed Roadworks,60 mph,Unconfirmed Roadworks,28.07.24,08:37:34,Sunday,Morning
J21A-J21,69 mph,No comment,61 mph,No comment,28.07.24,08:37:54,Sunday,Morning
J21-J20,70 mph,No comment,70 mph,No comment,28.07.24,08:38:14,Sunday,Morning
J20-J19,70 mph,No comment,70 mph,No comment,28.07.24,08:38:34,Sunday,Morning
J19-J18,56 mph,Unconfirmed Roadworks,37 mph,"Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",28.07.24,08:38:34,Sunday,Morning
J18-J17,50 mph,Unconfirmed Roadworks,48 mph,No comment,28.07.24,08:38:44,Sunday,Morning
J17-J16,47 mph,No comment,51 mph,Unconfirmed Roadworks,28.07.24,08:38:54,Sunday,Morning
J16-J15A,64 mph,No comment,70 mph,No comment,28.07.24,08:39:14,Sunday,Morning
J15A-J15,70 mph,No comment,70 mph,No comment,28.07.24,08:39:34,Sunday,Morning
J15-J14,66 mph,No comment,70 mph,No comment,28.07.24,08:39:54,Sunday,Morning
J14-J13,65 mph,Roadworks,70 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,08:39:54,Sunday,Morning
J13-J12,50 mph,Roadworks,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,08:39:54,Sunday,Morning
J12-J11A,50 mph,Roadworks,47 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,08:39:54,Sunday,Morning
J11A-J11,49 mph,"Roadworks, Roadworks",48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Roadworks",28.07.24,08:39:55,Sunday,Morning
J11-J10,49 mph,Roadworks,50 mph,"Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",28.07.24,08:39:55,Sunday,Morning
J10-J9,64 mph,"Roadworks, Unconfirmed Roadworks",61 mph,Roadworks,28.07.24,08:39:55,Sunday,Morning
J9-J8,69 mph,Unconfirmed Roadworks,60 mph,Roadworks,28.07.24,08:39:55,Sunday,Morning
J8-J7,61 mph,No comment,59 mph,No comment,28.07.24,08:40:15,Sunday,Morning
J7-J6A,63 mph,No comment,66 mph,No comment,28.07.24,08:40:35,Sunday,Morning
J6A-J6,70 mph,No comment,70 mph,No comment,28.07.24,08:40:55,Sunday,Morning
J6-J5,67 mph,No comment,70 mph,No comment,28.07.24,08:41:15,Sunday,Morning
J5-J4,70 mph,No comment,70 mph,No comment,28.07.24,08:41:35,Sunday,Morning
J4-J2,70 mph,No comment,70 mph,No comment,28.07.24,08:41:55,Sunday,Morning
J2-J1,68 mph,No comment,61 mph,No comment,28.07.24,08:42:15,Sunday,Morning
J48-J47,55 mph,Unconfirmed Roadworks,47 mph,Unconfirmed Roadworks,28.07.24,11:30:08,Sunday,Inter
J47-J46,48 mph,Unconfirmed Roadworks,48 mph,Unconfirmed Roadworks,28.07.24,11:30:08,Sunday,Inter
J46-J45,49 mph,Unconfirmed Roadworks,59 mph,Unconfirmed Roadworks,28.07.24,11:30:08,Sunday,Inter
J45-J43|44,68 mph,No comment,63 mph,No comment,28.07.24,11:30:28,Sunday,Inter
J43|44-J42,68 mph,No comment,65 mph,No comment,28.07.24,11:30:49,Sunday,Inter
J42-J41,68 mph,No comment,66 mph,No comment,28.07.24,11:31:09,Sunday,Inter
J41-J40,68 mph,No comment,69 mph,No comment,28.07.24,11:31:29,Sunday,Inter
J40-J39,67 mph,No comment,70 mph,No comment,28.07.24,11:31:49,Sunday,Inter
J39-J38,70 mph,No comment,70 mph,No comment,28.07.24,11:32:09,Sunday,Inter
J38-J37,70 mph,No comment,70 mph,No comment,28.07.24,11:32:29,Sunday,Inter
J37-J36,70 mph,No comment,67 mph,No comment,28.07.24,11:32:49,Sunday,Inter
J36-J35A,70 mph,Unconfirmed Roadworks,62 mph,No comment,28.07.24,11:32:59,Sunday,Inter
J35A-J35,66 mph,No comment,49 mph,No comment,28.07.24,11:33:19,Sunday,Inter
J35-J34,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",48 mph,No comment,28.07.24,11:33:29,Sunday,Inter
J34-J33,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,11:33:29,Sunday,Inter
J33-J32,50 mph,No comment,54 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,11:33:40,Sunday,Inter
J32-J31,63 mph,No comment,50 mph,Unconfirmed Roadworks,28.07.24,11:33:50,Sunday,Inter
J31-J30,49 mph,No comment,50 mph,Unconfirmed Roadworks,28.07.24,11:34:00,Sunday,Inter
J30-J29A,49 mph,No comment,49 mph,No comment,28.07.24,11:34:20,Sunday,Inter
J29A-J29,49 mph,No comment,49 mph,No comment,28.07.24,11:34:40,Sunday,Inter
J29-J28,50 mph,No comment,49 mph,Unconfirmed Roadworks,28.07.24,11:34:50,Sunday,Inter
J28-J27,63 mph,No comment,65 mph,No comment,28.07.24,11:35:10,Sunday,Inter
J27-J26,70 mph,No comment,69 mph,No comment,28.07.24,11:35:30,Sunday,Inter
J26-J25,68 mph,No comment,63 mph,No comment,28.07.24,11:35:50,Sunday,Inter
J25-J24A,51 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",49 mph,Unconfirmed Roadworks,28.07.24,11:35:50,Sunday,Inter
J24A-J24,55 mph,Unconfirmed Roadworks,49 mph,No comment,28.07.24,11:36:00,Sunday,Inter
J24-J23A,66 mph,No comment,56 mph,No comment,28.07.24,11:36:20,Sunday,Inter
J23A-J23,70 mph,Unconfirmed Roadworks,67 mph,No comment,28.07.24,11:36:30,Sunday,Inter
J23-J22,70 mph,No comment,64 mph,No comment,28.07.24,11:36:51,Sunday,Inter
J22-J21A,70 mph,Unconfirmed Roadworks,70 mph,Unconfirmed Roadworks,28.07.24,11:36:51,Sunday,Inter
J21A-J21,64 mph,No comment,70 mph,No comment,28.07.24,11:37:11,Sunday,Inter
J21-J20,70 mph,No comment,70 mph,No comment,28.07.24,11:37:31,Sunday,Inter
J20-J19,70 mph,No comment,70 mph,No comment,28.07.24,11:37:51,Sunday,Inter
J19-J18,53 mph,Unconfirmed Roadworks,12 mph,"Unconfirmed Roadworks, Congestion, Roadworks, Unconfirmed Roadworks",28.07.24,11:37:51,Sunday,Inter
J18-J17,49 mph,Unconfirmed Roadworks,48 mph,No comment,28.07.24,11:38:01,Sunday,Inter
J17-J16,49 mph,No comment,50 mph,Unconfirmed Roadworks,28.07.24,11:38:11,Sunday,Inter
J16-J15A,60 mph,No comment,65 mph,No comment,28.07.24,11:38:31,Sunday,Inter
J15A-J15,67 mph,No comment,70 mph,No comment,28.07.24,11:38:51,Sunday,Inter
J15-J14,69 mph,No comment,69 mph,No comment,28.07.24,11:39:11,Sunday,Inter
J14-J13,65 mph,Roadworks,61 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,11:39:12,Sunday,Inter
J13-J12,33 mph,"Incident, Roadworks",49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,11:39:12,Sunday,Inter
J12-J11A,48 mph,Roadworks,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,11:39:12,Sunday,Inter
J11A-J11,47 mph,"Roadworks, Roadworks",49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Roadworks",28.07.24,11:39:12,Sunday,Inter
J11-J10,49 mph,Roadworks,51 mph,"Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",28.07.24,11:39:12,Sunday,Inter
J10-J9,62 mph,"Roadworks, Unconfirmed Roadworks",67 mph,Roadworks,28.07.24,11:39:12,Sunday,Inter
J9-J8,64 mph,Unconfirmed Roadworks,67 mph,Roadworks,28.07.24,11:39:12,Sunday,Inter
J8-J7,56 mph,No comment,56 mph,No comment,28.07.24,11:39:32,Sunday,Inter
J7-J6A,67 mph,No comment,65 mph,No comment,28.07.24,11:39:52,Sunday,Inter
J6A-J6,69 mph,No comment,70 mph,No comment,28.07.24,11:40:12,Sunday,Inter
J6-J5,70 mph,No comment,70 mph,No comment,28.07.24,11:40:32,Sunday,Inter
J5-J4,70 mph,No comment,70 mph,No comment,28.07.24,11:40:52,Sunday,Inter
J4-J2,65 mph,No comment,70 mph,No comment,28.07.24,11:41:12,Sunday,Inter
J2-J1,66 mph,No comment,63 mph,No comment,28.07.24,11:41:32,Sunday,Inter
J48-J47,53 mph,Unconfirmed Roadworks,26 mph,Unconfirmed Roadworks,28.07.24,18:30:09,Sunday,Evening
J47-J46,49 mph,Unconfirmed Roadworks,41 mph,Unconfirmed Roadworks,28.07.24,18:30:09,Sunday,Evening
J46-J45,49 mph,Unconfirmed Roadworks,58 mph,Unconfirmed Roadworks,28.07.24,18:30:09,Sunday,Evening
J45-J43|44,68 mph,No comment,66 mph,No comment,28.07.24,18:30:30,Sunday,Evening
J43|44-J42,67 mph,No comment,67 mph,No comment,28.07.24,18:30:50,Sunday,Evening
J42-J41,70 mph,No comment,66 mph,No comment,28.07.24,18:31:10,Sunday,Evening
J41-J40,70 mph,No comment,67 mph,No comment,28.07.24,18:31:30,Sunday,Evening
J40-J39,67 mph,No comment,65 mph,No comment,28.07.24,18:31:50,Sunday,Evening
J39-J38,70 mph,No comment,70 mph,No comment,28.07.24,18:32:10,Sunday,Evening
J38-J37,70 mph,No comment,70 mph,No comment,28.07.24,18:32:30,Sunday,Evening
J37-J36,66 mph,No comment,69 mph,No comment,28.07.24,18:32:50,Sunday,Evening
J36-J35A,63 mph,Unconfirmed Roadworks,69 mph,No comment,28.07.24,18:33:00,Sunday,Evening
J35A-J35,56 mph,No comment,52 mph,No comment,28.07.24,18:33:20,Sunday,Evening
J35-J34,47 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",49 mph,No comment,28.07.24,18:33:30,Sunday,Evening
J34-J33,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,18:33:31,Sunday,Evening
J33-J32,49 mph,No comment,53 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,18:33:41,Sunday,Evening
J32-J31,64 mph,No comment,49 mph,Unconfirmed Roadworks,28.07.24,18:33:51,Sunday,Evening
J31-J30,49 mph,No comment,49 mph,Unconfirmed Roadworks,28.07.24,18:34:01,Sunday,Evening
J30-J29A,48 mph,No comment,48 mph,No comment,28.07.24,18:34:21,Sunday,Evening
J29A-J29,50 mph,No comment,48 mph,No comment,28.07.24,18:34:41,Sunday,Evening
J29-J28,48 mph,No comment,48 mph,Unconfirmed Roadworks,28.07.24,18:34:51,Sunday,Evening
J28-J27,63 mph,No comment,65 mph,No comment,28.07.24,18:35:11,Sunday,Evening
J27-J26,70 mph,No comment,69 mph,No comment,28.07.24,18:35:31,Sunday,Evening
J26-J25,67 mph,No comment,58 mph,No comment,28.07.24,18:35:51,Sunday,Evening
J25-J24A,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",49 mph,Unconfirmed Roadworks,28.07.24,18:35:51,Sunday,Evening
J24A-J24,53 mph,Unconfirmed Roadworks,48 mph,No comment,28.07.24,18:36:01,Sunday,Evening
J24-J23A,67 mph,No comment,57 mph,No comment,28.07.24,18:36:21,Sunday,Evening
J23A-J23,69 mph,Unconfirmed Roadworks,63 mph,No comment,28.07.24,18:36:32,Sunday,Evening
J23-J22,70 mph,No comment,47 mph,No comment,28.07.24,18:36:52,Sunday,Evening
J22-J21A,70 mph,Unconfirmed Roadworks,68 mph,Unconfirmed Roadworks,28.07.24,18:36:52,Sunday,Evening
J21A-J21,67 mph,No comment,63 mph,No comment,28.07.24,18:37:12,Sunday,Evening
J21-J20,70 mph,No comment,70 mph,No comment,28.07.24,18:37:32,Sunday,Evening
J20-J19,68 mph,No comment,68 mph,No comment,28.07.24,18:37:52,Sunday,Evening
J19-J18,52 mph,No comment,48 mph,No comment,28.07.24,18:38:12,Sunday,Evening
J18-J17,51 mph,No comment,48 mph,No comment,28.07.24,18:38:32,Sunday,Evening
J17-J16,47 mph,No comment,50 mph,Unconfirmed Roadworks,28.07.24,18:38:42,Sunday,Evening
J16-J15A,55 mph,No comment,66 mph,No comment,28.07.24,18:39:02,Sunday,Evening
J15A-J15,61 mph,No comment,67 mph,No comment,28.07.24,18:39:23,Sunday,Evening
J15-J14,65 mph,No comment,62 mph,No comment,28.07.24,18:39:43,Sunday,Evening
J14-J13,63 mph,Roadworks,60 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,18:39:43,Sunday,Evening
J13-J12,48 mph,Roadworks,47 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,18:39:43,Sunday,Evening
J12-J11A,48 mph,Roadworks,38 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",28.07.24,18:39:43,Sunday,Evening
